Searches,Relevant,Non-relevant,TP,FP,TN,FN,R,P,F1
LIST-americanbar,91,1611,46,485,1126,45,0.5054945054945055,0.08662900188323917,0.14790996784565916
LIST-chat_gpt_enron,91,1611,74,502,1109,17,0.8131868131868132,0.1284722222222222,0.22188905547226384
LIST-chat_gtp_enron_2,91,1611,79,651,960,12,0.8681318681318682,0.10821917808219178,0.19244823386114496
LIST-chat_gtp_enron_3,91,1611,78,543,1068,13,0.8571428571428571,0.12560386473429952,0.2191011235955056
LIST-encyclopedia,91,1611,23,256,1355,68,0.25274725274725274,0.08243727598566308,0.12432432432432433
LIST-enron_email_list,91,1611,70,426,1185,21,0.7692307692307693,0.14112903225806453,0.2385008517887564
LIST-enron_exp1,91,1611,50,253,1358,41,0.5494505494505495,0.16501650165016502,0.25380710659898476
LIST-enron_exp1_sub,91,1611,53,351,1260,38,0.5824175824175825,0.1311881188118812,0.21414141414141416
LIST-enron_exp2,91,1611,52,257,1354,39,0.5714285714285714,0.16828478964401294,0.26
LIST-enron_exp3,91,1611,69,369,1242,22,0.7582417582417582,0.15753424657534246,0.2608695652173913
LIST-enron_exp4,91,1611,69,398,1213,22,0.7582417582417582,0.14775160599571735,0.24731182795698925
LIST-enron_exp5b,91,1611,81,542,1069,10,0.8901098901098901,0.13001605136436598,0.226890756302521
LIST-enron_exp_5,91,1611,84,665,946,7,0.9230769230769231,0.11214953271028037,0.19999999999999998
LIST-enron_exp_5a,91,1611,84,888,723,7,0.9230769230769231,0.08641975308641975,0.15804327375352775
LIST-enron_exp_5b,91,1611,82,542,1069,9,0.9010989010989011,0.13141025641025642,0.22937062937062935
LIST-justicegov,91,1611,71,715,896,20,0.7802197802197802,0.09033078880407125,0.16191562143671606
LIST-law_society,91,1611,74,684,927,17,0.8131868131868132,0.09762532981530343,0.17432273262661957
